Date,Time,red_freq,green_freq,blue_freq,value
8/30/2023,22:08:21,131,152,141,2000
8/30/2023,22:08:32,132,152,142,2000
8/30/2023,22:08:39,148,167,151,2000
8/30/2023,22:08:46,142,161,146,2000
8/30/2023,22:08:52,142,161,146,2000
8/30/2023,22:09:09,135,155,142,2000
8/30/2023,22:09:54,123,156,162,5000
8/30/2023,22:10:00,125,158,163,5000
8/30/2023,22:10:07,134,174,173,5000
8/30/2023,22:10:13,136,177,176,5000
8/30/2023,22:10:20,140,177,183,5000
8/30/2023,22:10:25,142,182,184,5000
8/30/2023,22:10:34,141,182,184,5000
8/30/2023,22:10:41,123,152,162,5000
8/30/2023,22:10:48,123,152,163,5000
8/30/2023,22:10:53,136,187,173,5000
8/30/2023,22:11:06,129,165,166,5000
8/30/2023,22:11:13,129,166,167,5000
8/30/2023,22:11:29,103,137,147,5000
8/30/2023,22:11:42,116,161,164,5000
8/30/2023,22:11:49,107,145,153,5000
8/30/2023,22:11:55,111,152,158,5000
8/30/2023,22:12:03,109,148,156,5000
8/30/2023,22:12:10,108,145,154,5000
8/30/2023,22:12:28,116,151,163,5000
8/30/2023,22:12:46,121,158,169,5000
8/30/2023,22:12:56,140,191,197,5000
8/30/2023,22:13:04,154,212,215,5000
8/30/2023,22:13:11,152,210,212,5000
8/30/2023,22:13:23,126,165,178,5000
8/30/2023,22:13:37,153,196,198,5000
8/30/2023,22:14:39,140,196,199,5000
8/30/2023,22:15:06,136,177,175,5000
8/30/2023,22:15:12,136,177,175,5000
8/30/2023,22:15:17,163,226,209,5000
8/30/2023,22:15:23,164,227,210,5000
8/30/2023,22:16:36,201,267,190,10000
8/30/2023,22:16:46,155,202,148,10000
8/30/2023,22:16:52,184,243,173,10000
8/30/2023,22:16:59,184,243,173,10000
8/30/2023,22:17:05,147,192,141,10000
8/30/2023,22:17:12,148,192,141,10000
8/30/2023,22:17:37,147,176,130,10000
8/30/2023,22:17:44,147,176,130,10000
8/30/2023,22:17:52,119,137,104,10000
8/30/2023,22:17:58,133,158,118,10000
8/30/2023,22:18:04,133,158,117,10000
8/30/2023,22:18:19,187,247,176,10000
8/30/2023,22:18:24,187,247,175,10000
8/30/2023,22:18:39,186,247,175,10000
8/30/2023,22:18:45,146,186,141,10000
8/30/2023,22:18:50,191,254,182,10000
8/30/2023,22:18:56,161,213,159,10000
8/30/2023,22:19:02,161,212,158,10000
8/30/2023,22:19:08,161,209,157,10000
8/30/2023,22:19:18,162,213,160,10000
8/30/2023,22:19:34,144,168,127,10000
8/30/2023,22:19:40,144,168,127,10000
8/30/2023,22:19:56,146,169,128,10000
8/30/2023,22:20:06,126,145,110,10000
8/30/2023,22:20:23,125,145,110,10000
8/30/2023,22:21:12,122,139,106,10000
8/30/2023,22:24:07,172,229,167,10000
8/30/2023,22:24:23,148,193,146,10000
8/30/2023,22:24:30,148,195,146,10000
8/30/2023,22:24:41,184,245,174,10000
8/30/2023,22:24:47,140,176,135,10000
8/30/2023,22:25:22,180,168,165,20000
8/30/2023,22:25:35,164,159,157,20000
8/30/2023,22:25:41,180,169,167,20000
8/30/2023,22:25:51,170,158,157,20000
8/30/2023,22:25:57,160,155,153,20000
8/30/2023,22:26:03,179,163,162,20000
8/30/2023,22:26:11,177,163,160,20000
8/30/2023,22:26:17,177,163,160,20000
8/30/2023,22:26:26,169,160,157,20000
8/30/2023,22:26:45,150,153,163,20000
8/30/2023,22:26:52,137,141,151,20000
8/30/2023,22:27:05,150,152,161,20000
8/30/2023,22:27:13,145,148,159,20000
8/30/2023,22:28:18,188,174,172,20000
8/30/2023,22:28:25,195,185,181,20000
8/30/2023,22:28:31,188,173,171,20000
8/30/2023,22:28:46,187,173,171,20000
8/30/2023,22:29:04,190,178,174,20000
8/30/2023,22:29:12,161,154,155,20000
8/30/2023,22:29:17,177,167,167,20000
8/30/2023,22:29:35,180,173,179,20000
8/30/2023,22:29:40,181,173,179,20000
8/30/2023,22:29:46,171,165,172,20000
8/30/2023,22:29:51,130,130,128,20000
8/30/2023,22:29:56,136,135,133,20000
8/30/2023,22:30:03,132,132,130,20000
8/30/2023,22:30:10,126,127,125,20000
8/30/2023,22:30:18,120,122,119,20000
8/30/2023,22:30:26,128,129,126,20000
8/30/2023,22:30:33,117,119,115,20000
8/30/2023,22:31:11,188,159,118,50000
8/30/2023,22:31:21,188,159,118,50000
8/30/2023,22:31:26,188,157,116,50000
8/30/2023,22:31:32,161,143,111,50000
8/30/2023,22:31:38,146,132,103,50000
8/30/2023,22:31:44,190,159,117,50000
8/30/2023,22:31:57,189,159,117,50000
8/30/2023,22:32:04,183,151,112,50000
8/30/2023,22:32:17,146,132,103,50000
8/30/2023,22:32:23,147,133,104,50000
8/30/2023,22:32:37,158,137,105,50000
8/30/2023,22:32:42,125,120,98,50000
8/30/2023,22:32:47,125,118,95,50000
8/30/2023,22:32:52,136,125,98,50000
8/30/2023,22:33:00,136,125,99,50000
8/30/2023,22:33:17,120,114,94,50000
8/30/2023,22:33:24,114,107,86,50000
8/30/2023,22:33:31,117,109,88,50000
8/30/2023,22:33:44,160,144,112,50000
8/30/2023,22:33:50,164,147,116,50000
8/30/2023,22:33:57,142,133,108,50000
8/30/2023,22:34:19,132,126,104,50000
8/30/2023,22:34:25,130,125,103,50000
8/30/2023,22:34:56,172,159,131,50000
8/30/2023,22:35:42,176,164,135,50000
8/30/2023,22:35:50,187,169,135,50000
8/30/2023,22:35:56,165,156,131,50000
8/30/2023,22:36:05,164,155,131,50000
8/30/2023,22:36:15,158,151,128,50000
8/30/2023,22:36:23,180,166,136,50000
8/30/2023,22:37:28,99,177,147,100000
8/30/2023,22:37:44,100,182,151,100000
8/30/2023,22:38:10,100,179,149,100000
8/30/2023,22:38:18,100,183,151,100000
8/30/2023,22:38:25,96,170,141,100000
8/30/2023,22:38:34,96,170,141,100000
8/30/2023,22:38:52,97,170,144,100000
8/30/2023,22:38:58,97,173,144,100000
8/30/2023,22:39:03,95,155,134,100000
8/30/2023,22:39:10,95,164,139,100000
8/30/2023,22:39:17,96,172,144,100000
8/30/2023,22:39:26,88,138,122,100000
8/30/2023,22:39:37,121,168,148,100000
8/30/2023,22:39:42,123,168,151,100000
8/30/2023,22:39:56,124,168,152,100000
8/30/2023,22:40:01,115,160,138,100000
8/30/2023,22:40:09,121,168,146,100000
8/30/2023,22:40:15,114,180,150,100000
8/30/2023,22:40:21,115,182,151,100000
8/30/2023,22:40:36,116,159,138,100000
8/30/2023,22:40:41,98,143,120,100000
8/30/2023,22:40:46,113,156,135,100000
8/30/2023,22:40:52,116,159,139,100000
8/30/2023,22:40:58,102,146,123,100000
8/30/2023,22:41:06,87,137,112,100000
8/30/2023,22:41:12,95,141,118,100000
8/30/2023,22:41:18,101,145,122,100000
8/30/2023,22:41:25,110,153,131,100000
8/30/2023,22:41:37,88,143,118,100000
8/30/2023,22:41:45,88,141,115,100000
9/4/2023,19:54:13,145,158,141,1000
9/4/2023,19:54:44,128,161,189,1000
9/4/2023,19:54:55,137,168,173,1000
9/4/2023,19:55:02,137,169,174,1000
9/4/2023,19:56:49,152,207,227,1000
9/4/2023,19:56:54,152,205,226,1000
9/4/2023,19:57:05,134,165,169,1000
9/4/2023,19:57:10,146,173,175,1000
9/4/2023,19:57:15,142,170,177,1000
9/4/2023,19:57:20,134,160,168,1000
9/4/2023,19:57:25,142,175,176,1000
9/4/2023,19:57:30,145,174,173,1000
9/4/2023,19:58:03,148,168,137,1000
9/4/2023,19:58:08,140,162,149,1000
9/4/2023,19:58:13,144,169,146,1000
9/4/2023,19:58:19,143,173,148,1000
9/4/2023,19:58:24,138,158,138,1000
9/4/2023,19:58:29,138,157,136,1000
9/4/2023,19:58:35,120,115,109,1000
9/4/2023,19:58:41,126,136,125,1000
9/4/2023,19:59:25,140,181,207,1000
9/4/2023,19:59:32,137,165,169,1000
9/4/2023,19:59:37,143,188,203,1000
9/4/2023,19:59:43,148,181,191,1000
9/4/2023,19:59:48,127,156,161,1000
9/4/2023,19:59:54,156,189,193,1000
9/4/2023,20:00:00,130,150,173,1000
9/4/2023,20:00:06,147,178,182,1000
9/4/2023,20:00:19,152,179,184,1000
9/4/2023,20:00:24,151,178,182,1000
9/4/2023,20:00:30,152,171,178,1000
9/4/2023,20:00:36,151,179,186,1000
9/4/2023,20:00:44,153,183,186,1000
9/4/2023,20:01:23,138,168,174,1000
9/4/2023,20:02:30,129,157,151,2000
9/4/2023,20:02:36,131,157,149,2000
9/4/2023,20:02:42,131,154,144,2000
9/4/2023,20:02:48,131,156,148,2000
9/4/2023,20:02:53,125,154,158,2000
9/4/2023,20:02:59,129,157,151,2000
9/4/2023,20:03:22,130,153,144,2000
9/4/2023,20:03:25,139,166,157,2000
9/4/2023,20:03:30,144,169,153,2000
9/4/2023,20:03:36,142,167,156,2000
9/4/2023,20:03:45,143,168,155,2000
9/4/2023,20:03:54,147,174,168,2000
9/4/2023,20:03:59,146,175,170,2000
9/4/2023,20:04:05,169,193,183,2000
9/4/2023,20:04:11,171,187,173,2000
9/4/2023,20:06:14,156,181,174,2000
9/4/2023,20:06:20,134,162,157,2000
9/4/2023,20:06:27,136,170,171,2000
9/4/2023,20:06:33,164,184,175,2000
9/4/2023,20:07:00,180,208,197,2000
9/4/2023,20:07:31,116,146,151,2000
9/4/2023,20:07:37,118,140,128,2000
9/4/2023,20:07:44,125,155,159,2000
9/4/2023,20:07:51,118,150,152,2000
9/4/2023,20:08:19,126,148,138,2000
9/4/2023,20:08:25,129,154,143,2000
9/4/2023,20:08:30,129,151,139,2000
9/4/2023,20:08:38,129,154,145,2000
9/4/2023,20:09:49,134,160,150,2000
9/4/2023,20:10:01,134,154,138,2000
9/4/2023,20:11:33,126,168,164,5000
9/4/2023,20:11:39,130,184,166,5000
9/4/2023,20:11:45,97,126,127,5000
9/4/2023,20:11:51,97,129,127,5000
9/4/2023,20:11:56,97,125,125,5000
9/4/2023,20:12:07,105,147,148,5000
9/4/2023,20:12:15,107,155,154,5000
9/4/2023,20:12:20,110,160,158,5000
9/4/2023,20:12:26,103,146,146,5000
9/4/2023,20:12:32,99,143,142,5000
9/4/2023,20:12:37,107,154,153,5000
9/4/2023,20:12:43,107,153,152,5000
9/4/2023,20:13:51,137,194,173,5000
9/4/2023,20:13:57,150,203,180,5000
9/4/2023,20:14:23,139,195,175,5000
9/4/2023,20:14:35,105,146,139,5000
9/4/2023,20:14:48,114,166,165,5000
9/4/2023,20:14:54,104,151,149,5000
9/4/2023,20:15:00,104,148,147,5000
9/4/2023,20:15:06,99,147,146,5000
9/4/2023,20:15:12,100,141,149,5000
9/4/2023,20:15:17,100,141,146,5000
9/4/2023,20:15:29,103,143,153,5000
9/4/2023,20:15:35,96,138,143,5000
9/4/2023,20:15:41,101,145,147,5000
9/4/2023,20:15:55,103,139,146,5000
9/4/2023,20:16:01,96,135,143,5000
9/4/2023,20:16:07,102,140,145,5000
9/4/2023,20:16:23,131,184,167,5000
9/4/2023,20:16:28,144,206,184,5000
9/4/2023,20:18:28,180,216,152,10000
9/4/2023,20:18:33,180,216,152,10000
9/4/2023,20:18:41,181,215,152,10000
9/4/2023,20:18:47,180,217,154,10000
9/4/2023,20:18:53,167,203,143,10000
9/4/2023,20:19:09,160,195,136,10000
9/4/2023,20:19:14,149,184,130,10000
9/4/2023,20:19:19,152,186,131,10000
9/4/2023,20:19:25,163,203,141,10000
9/4/2023,20:19:31,159,201,141,10000
9/4/2023,20:20:13,167,192,138,10000
9/4/2023,20:20:23,173,209,147,10000
9/4/2023,20:20:48,172,208,147,10000
9/4/2023,20:21:09,176,208,147,10000
9/4/2023,20:21:21,178,210,148,10000
9/4/2023,20:21:32,167,201,142,10000
9/4/2023,20:21:42,169,205,145,10000
9/4/2023,20:21:47,175,211,148,10000
9/4/2023,20:21:55,183,219,154,10000
9/4/2023,20:22:00,186,217,154,10000
9/4/2023,20:22:05,184,219,153,10000
9/4/2023,20:22:36,156,198,145,10000
9/4/2023,20:22:41,153,194,143,10000
9/4/2023,20:22:47,146,191,141,10000
9/4/2023,20:22:52,146,188,139,10000
9/4/2023,20:22:57,145,186,137,10000
9/4/2023,20:23:02,148,186,137,10000
9/4/2023,20:23:26,168,195,139,10000
9/4/2023,20:23:32,183,217,152,10000
9/4/2023,20:23:38,190,226,159,10000
9/4/2023,20:25:30,192,199,203,20000
9/4/2023,20:25:36,213,218,230,20000
9/4/2023,20:25:47,217,221,234,20000
9/4/2023,20:26:04,185,196,199,20000
9/4/2023,20:26:10,184,193,197,20000
9/4/2023,20:26:18,184,194,199,20000
9/4/2023,20:26:28,183,192,194,20000
9/4/2023,20:26:35,183,193,196,20000
9/4/2023,20:26:57,199,204,210,20000
9/4/2023,20:27:03,193,192,232,20000
9/4/2023,20:27:09,213,210,209,20000
9/4/2023,20:27:16,185,189,195,20000
9/4/2023,20:27:23,221,222,230,20000
9/4/2023,20:27:31,218,219,231,20000
9/4/2023,20:27:43,216,218,231,20000
9/4/2023,20:27:53,215,216,228,20000
9/4/2023,20:27:58,160,176,174,20000
9/4/2023,20:28:12,182,188,190,20000
9/4/2023,20:28:18,178,186,188,20000
9/4/2023,20:28:29,181,192,196,20000
9/4/2023,20:28:43,206,211,212,20000
9/4/2023,20:28:49,203,204,206,20000
9/4/2023,20:28:58,222,222,221,20000
9/4/2023,20:29:05,198,204,205,20000
9/4/2023,20:29:24,214,215,215,20000
9/4/2023,20:29:29,233,227,227,20000
9/4/2023,20:29:38,208,211,211,20000
9/4/2023,20:29:44,224,223,222,20000
9/4/2023,20:29:50,225,223,223,20000
9/4/2023,20:30:04,188,196,200,20000
9/4/2023,20:31:02,223,185,140,50000
9/4/2023,20:31:53,210,173,131,50000
9/4/2023,20:32:05,208,171,130,50000
9/4/2023,20:32:14,201,167,128,50000
9/4/2023,20:32:21,202,167,127,50000
9/4/2023,20:32:44,191,156,114,50000
9/4/2023,20:33:01,184,153,116,50000
9/4/2023,20:33:12,192,155,115,50000
9/4/2023,20:33:25,153,141,112,50000
9/4/2023,20:33:31,153,140,112,50000
9/4/2023,20:33:37,153,140,111,50000
9/4/2023,20:33:54,153,138,110,50000
9/4/2023,20:34:02,153,139,110,50000
9/4/2023,20:34:07,109,106,91,50000
9/4/2023,20:34:13,108,105,91,50000
9/4/2023,20:34:27,220,184,139,50000
9/4/2023,20:34:33,216,180,136,50000
9/4/2023,20:34:42,144,139,118,50000
9/4/2023,20:34:48,146,139,118,50000
9/4/2023,20:35:02,162,148,119,50000
9/4/2023,20:35:09,143,132,110,50000
9/4/2023,20:35:14,134,129,112,50000
9/4/2023,20:35:26,161,147,116,50000
9/4/2023,20:35:32,162,146,116,50000
9/4/2023,20:35:40,161,147,117,50000
9/4/2023,20:35:47,162,146,117,50000
9/4/2023,20:35:52,154,144,105,50000
9/4/2023,20:35:57,135,128,104,50000
9/4/2023,20:36:13,141,132,108,50000
9/4/2023,20:36:20,141,132,108,50000
9/4/2023,20:37:06,128,228,193,100000
9/4/2023,20:37:15,93,158,129,100000
9/4/2023,20:37:21,111,195,164,100000
9/4/2023,20:37:27,128,228,194,100000
9/4/2023,20:37:36,86,140,114,100000
9/4/2023,20:37:42,81,127,103,100000
9/4/2023,20:37:49,80,127,104,100000
9/4/2023,20:38:01,128,175,156,100000
9/4/2023,20:38:09,113,151,135,100000
9/4/2023,20:38:14,113,149,135,100000
9/4/2023,20:38:39,103,143,126,100000
9/4/2023,20:38:47,103,156,133,100000
9/4/2023,20:38:58,104,156,133,100000
9/4/2023,20:39:03,101,161,136,100000
9/4/2023,20:39:08,104,150,129,100000
9/4/2023,20:39:20,124,219,186,100000
9/4/2023,20:39:27,125,228,193,100000
9/4/2023,20:39:36,129,235,197,100000
9/4/2023,20:39:42,105,184,153,100000
9/4/2023,20:39:48,106,185,155,100000
9/4/2023,20:39:59,104,180,148,100000
9/4/2023,20:40:11,99,160,132,100000
9/4/2023,20:40:25,107,149,139,100000
9/4/2023,20:40:31,97,142,138,100000
9/4/2023,20:40:40,100,161,142,100000
9/4/2023,20:40:47,117,205,175,100000
9/4/2023,20:40:58,124,180,157,100000
9/4/2023,20:41:05,121,164,150,100000
9/4/2023,20:41:18,120,160,144,100000
9/4/2023,20:41:25,112,149,133,100000
